movieid|average_rank|frequency|imdb_rating|imdb_votes|rank_of_average_rank|rank_of_frequency|rank_of_imdb_rating|rank_of_imdb_votes|bucket_rank
282|3.975609756097561|82.0|5.0|82133.0|57.0|150.5|423.5|194.0|2.0
283|3.729559748427673|477.0|8.9|502886.0|41.0|1.0|3.5|12.0|1.0
284|3.8205128205128207|195.0|8.7|577855.0|44.0|40.5|10.0|7.0|1.0
285|15.0|1.0|4.6|322.0|468.0|470.0|439.0|462.0|10.0
286|3.326388888888889|144.0|7.9|173732.0|26.0|78.0|105.0|111.0|1.0
287|6.203703703703703|54.0|5.9|86158.0|273.0|210.5|373.5|188.0|6.0
288|2.9877300613496933|163.0|7.6|293930.0|12.0|56.0|141.0|53.0|1.0
289|2.8260869565217392|69.0|7.4|205202.0|6.0|177.0|166.5|92.0|1.0
290|9.666666666666666|24.0|5.4|38366.0|437.0|321.5|407.5|288.0|10.0
291|3.3484848484848486|132.0|8.0|392774.0|29.0|93.0|97.5|28.0|1.0
292|4.614285714285714|70.0|7.2|48285.0|110.0|174.5|193.5|261.0|3.0
293|4.264705882352941|68.0|7.6|111528.0|84.0|179.5|141.0|164.0|2.0
294|7.1|10.0|5.8|7215.0|343.0|413.5|383.5|393.0|8.0
295|5.935135135135135|185.0|8.2|427628.0|246.0|46.5|65.0|24.0|6.0
296|4.511811023622047|127.0|8.1|387643.0|101.0|101.0|85.0|30.0|3.0
297|9.0|18.0|5.1|4576.0|417.5|359.5|419.5|416.0|9.0
298|6.571428571428571|49.0|6.2|142900.0|304.0|225.5|339.0|133.0|7.0
299|5.129032258064516|62.0|6.1|52059.0|168.0|192.5|350.0|254.0|4.0
300|6.833333333333333|6.0|6.0|5237.0|325.0|445.5|362.0|410.0|7.0
301|6.0|7.0|7.6|16298.0|253.0|438.0|141.0|357.0|6.0
302|5.825581395348837|86.0|6.3|43496.0|235.0|138.5|325.5|273.0|5.0
303|5.625|24.0|6.8|23213.0|207.0|321.5|246.5|330.0|5.0
304|4.96875|160.0|8.6|222417.0|142.0|60.5|15.5|85.0|3.0
305|6.7272727272727275|44.0|6.2|37488.0|319.0|245.0|339.0|293.0|7.0
306|8.571428571428571|7.0|5.0|3770.0|403.0|438.0|423.5|424.0|9.0
307|2.457627118644068|59.0|8.2|114682.0|4.0|202.0|65.0|159.0|1.0
