movieid|average_score|rank_of_average_score|average_rank|frequency|rank_of_frequency|votes|rank_of_votes
192|8.4|37.5|4.953703703703703|108.0|114.0|121383.0|152.0
193|6.3|325.5|5.041666666666667|24.0|321.5|31402.0|309.0
194|7.9|105.0|3.1384615384615384|65.0|185.5|100585.0|175.0
195|8.5|25.5|5.782608695652174|69.0|177.0|217255.0|88.0
196|8.1|85.0|5.830188679245283|159.0|63.0|205795.0|91.0
197|2.5|470.0|14.625|8.0|430.5|73.0|467.5
198|7.5|155.5|4.082758620689655|290.0|21.0|104622.0|171.0
199|6.0|362.0|5.0|12.0|403.5|1569.0|444.0
200|7.0|222.0|12.0|4.0|458.5|1963.0|440.0
201|7.6|141.0|4.26984126984127|63.0|189.5|231337.0|78.0
202|7.7|124.5|2.877551020408163|98.0|123.0|185631.0|102.0
203|6.7|261.0|6.846153846153846|26.0|309.0|4886.0|413.0
204|3.6|461.5|4.658536585365853|82.0|150.5|7727.0|388.0
205|6.1|350.0|5.081081081081081|37.0|267.5|52707.0|250.0
206|6.3|325.5|5.730769230769231|26.0|309.0|41354.0|277.0
207|6.6|276.5|7.214285714285714|28.0|297.0|76523.0|198.0
208|7.1|206.0|3.25|20.0|345.0|53259.0|247.0
209|8.1|85.0|15.0|9.0|422.0|61264.0|231.0
210|7.3|180.0|4.708333333333333|24.0|321.5|78976.0|197.0
211|3.4|463.5|7.148148148148148|27.0|303.5|14527.0|362.0
212|7.5|155.5|9.0|15.0|380.5|47067.0|264.0
213|6.3|325.5|4.0|166.0|54.0|145424.0|128.0
214|6.5|295.5|5.2|60.0|197.5|24437.0|326.0
215|7.9|105.0|8.0|9.0|422.0|74730.0|205.0
216|8.1|85.0|6.188118811881188|404.0|6.0|279877.0|58.0
217|7.7|124.5|6.968253968253968|63.0|189.5|261649.0|66.0
218|4.9|428.5|15.0|5.0|452.5|1566.0|445.0
219|7.8|112.5|4.25|20.0|345.0|120262.0|153.0
220|7.6|141.0|6.0|55.0|207.5|132612.0|146.0
221|5.4|407.5|5.3977272727272725|88.0|136.0|33595.0|300.0
222|8.2|65.0|5.833333333333333|48.0|229.0|79232.0|196.0
223|8.0|97.5|3.574074074074074|108.0|114.0|235532.0|75.0
224|6.9|234.0|4.816326530612245|49.0|225.5|23888.0|329.0
225|7.2|193.5|3.466666666666667|60.0|197.5|119904.0|154.0
226|7.0|222.0|9.761904761904763|21.0|338.5|18636.0|346.0
227|6.5|295.5|9.5|14.0|388.0|9455.0|381.0
228|6.3|325.5|9.0|14.0|388.0|7956.0|384.0
229|6.0|362.0|6.361702127659575|47.0|232.5|20137.0|339.0
230|7.0|222.0|4.88|25.0|313.5|18830.0|345.0
231|8.2|65.0|4.697916666666667|288.0|22.0|368090.0|33.0
232|8.5|25.5|5.503311258278146|151.0|69.5|143783.0|130.0
233|7.8|112.5|3.675675675675676|111.0|110.5|153208.0|126.0
234|7.7|124.5|2.433333333333333|90.0|133.5|253856.0|69.0
235|6.8|246.5|4.321428571428571|84.0|143.0|163444.0|119.0
236|6.3|325.5|3.327683615819209|177.0|51.0|181569.0|107.0
237|7.0|222.0|5.185185185185185|27.0|303.5|29414.0|312.0
238|8.7|10.0|9.375|24.0|321.5|135522.0|143.0
239|5.1|419.5|6.673913043478261|46.0|237.0|22544.0|332.0
240|4.9|428.5|5.7611940298507465|67.0|181.5|3470.0|427.0
241|7.0|222.0|5.425531914893617|47.0|232.5|55284.0|244.0
242|6.6|276.5|4.714285714285714|49.0|225.5|70139.0|213.0
243|3.8|456.0|6.333333333333333|3.0|464.0|54.0|470.0
244|8.3|48.0|4.533333333333333|105.0|116.0|288599.0|55.0
245|6.8|246.5|6.516129032258065|31.0|286.5|26874.0|319.0
246|6.1|350.0|5.4|20.0|345.0|31457.0|308.0
247|6.5|295.5|7.166666666666667|6.0|445.5|5323.0|409.0
248|3.8|456.0|6.3076923076923075|13.0|397.0|833.0|450.0
249|3.6|461.5|10.625|8.0|430.5|629.0|457.0
250|3.4|463.5|9.857142857142858|21.0|338.5|4380.0|419.0
251|6.1|350.0|6.56|50.0|221.0|28472.0|316.0
252|8.2|65.0|2.980392156862745|51.0|218.5|187161.0|99.0
253|7.0|222.0|5.442105263157894|95.0|128.5|67870.0|219.0
254|7.2|193.5|5.033333333333333|60.0|197.5|276084.0|59.0
255|8.6|15.5|5.0311111111111115|225.0|32.0|249801.0|70.0
256|6.7|261.0|3.5526315789473686|190.0|44.0|207588.0|89.0
257|6.4|310.5|9.071428571428571|14.0|388.0|6887.0|395.0
258|8.3|48.0|5.976470588235294|85.0|140.5|149374.0|127.0
259|8.7|10.0|6.151515151515151|66.0|183.5|405419.0|25.0
260|7.4|166.5|4.180722891566265|83.0|146.0|71087.0|210.0
261|7.3|180.0|4.753191489361702|235.0|28.5|113812.0|160.0
262|6.6|276.5|6.121951219512195|41.0|254.0|71162.0|209.0
263|8.0|97.5|2.2658227848101267|79.0|159.5|288559.0|56.0
264|4.9|428.5|10.863636363636363|22.0|333.0|2853.0|431.0
265|5.8|383.5|5.770949720670391|179.0|50.0|92364.0|186.0
266|6.2|339.0|4.569948186528498|193.0|42.0|104892.0|169.0
267|6.9|234.0|5.674418604651163|129.0|99.5|93364.0|184.0
268|6.7|261.0|5.388888888888889|54.0|210.5|140739.0|136.0
269|6.2|339.0|7.625|16.0|374.0|15164.0|358.0
270|5.4|407.5|6.722222222222222|18.0|359.5|4260.0|420.0
271|7.1|206.0|4.142857142857143|7.0|438.0|35898.0|298.0
272|7.4|166.5|4.333333333333333|18.0|359.5|68562.0|217.0
273|6.4|310.5|5.182926829268292|82.0|150.5|104839.0|170.0
274|3.7|459.0|4.394230769230769|104.0|117.0|8699.0|383.0
275|6.8|246.5|6.029411764705882|34.0|281.0|105685.0|168.0
276|7.4|166.5|4.75|4.0|458.5|11151.0|373.0
277|5.8|383.5|6.333333333333333|18.0|359.5|6186.0|401.0
278|6.5|295.5|5.444444444444445|18.0|359.5|63385.0|226.0
279|8.6|15.5|5.009216589861751|217.0|34.0|498511.0|13.0
280|5.8|383.5|5.258278145695364|151.0|69.5|74127.0|206.0
281|6.8|246.5|4.677966101694915|59.0|202.0|22312.0|333.0
